#spekter Teff logg [M/H]
39 4647.428 2.3489306 -0.28627348
236 4917.552 3.476417 -0.17021894
525 3913.6816 4.608585 0.171597
796 4401.3677 1.9706007 -0.54661417
863 5664.9673 4.08687 0.03991556
942 5928.032 4.2664614 -0.024040222
1034 4140.947 1.4806553 -0.605288
1100 6081.304 3.968911 0.060232162
1110 7155.538 3.6056788 -0.35842752
1356 4450.4966 2.5696454 0.12650347
1421 6554.6953 4.1351333 -0.27230215
1581 5448.391 3.9501307 -0.1643343
1769 4419.062 2.2800918 0.089916706
2035 5926.797 3.8247693 -0.24479008
2126 5734.318 4.06814 -0.023948193
2159 4369.3086 2.2778885 -0.09926319
2567 7257.758 4.1799097 -0.264565
2713 5551.904 4.3271303 0.24657917
3005 4955.7964 3.0924613 -0.29543638
3045 5217.844 4.5673485 0.01325655
3110 5738.5874 4.3669205 -0.42520905
3112 5725.5737 3.948643 -0.5495639
3118 6045.99 4.0778065 0.173419
3130 4807.4243 2.8975868 -0.4111972
3263 6135.762 4.070346 -0.20164919
3473 6264.567 3.611802 -0.39726067
3635 5006.988 2.4580677 -0.5611763
3665 4797.658 2.464709 -0.09444904
3673 6793.634 4.121114 -0.1615963
3983 4303.044 1.9217975 -0.5152092
4126 7117.69 3.953602 0.20025969
4311 7611.44 4.0897455 -0.3693161
4315 5007.855 2.4758286 -0.5327172
4320 4415.4526 1.8525438 -0.45517683
4380 6908.692 3.3860297 -1.2429037
4387 3749.4148 0.95850736 0.35072756
4439 7038.887 4.028849 0.2627921
4467 4632.9204 2.3884213 -0.28880548
4528 4853.6426 2.4281595 -0.37362337
4647 6098.555 3.967588 -0.3253603
4685 6344.6333 4.027019 -0.08853912
4704 4832.7295 2.415506 -0.4539132
4798 4993.57 2.5671728 -0.49010658
4902 4013.4668 1.1486176 -0.75546837
4982 4678.227 2.356533 0.018994808
5063 4883.5996 2.4050076 -0.5474744
5159 4955.873 2.5036917 -0.8213835
5189 5942.018 3.9616044 0.0958519
5283 4555.666 2.3900716 0.025885582
5355 5461.4614 3.8718243 -0.1315422
5388 5750.5845 3.9703403 -0.076180935
5468 6603.7856 4.0129967 -0.18069744
